simulation,graph_type,n_vertices,n_edges,n_components,n_faces,mean_degree,std_degree,min_degree,max_degree,mean_length,std_length,min_length,max_length,total_length,entropy_degree,entropy_length,entropy_orientation,is_connected,density
6,Gabriel,100,181,1,83,3.62,1.1728597529116598,1,7,0.10298787517011837,0.05151786133911553,0.019931330695843057,0.2501953778998852,18.640805405791426,2.185505743231773,3.032896842512788,5.078263953205156,True,0.036565656565656565
6,RNG,100,121,1,23,2.42,0.7236021006050218,1,4,0.0836898294820654,0.041666478195564495,0.019931330695843057,0.18869442944723033,10.126469367329912,1.5745363196587807,3.124069652192033,5.0250723581166445,True,0.024444444444444446
7,Gabriel,100,174,1,76,3.48,1.153082824431966,1,6,0.09528838404452343,0.04895928182716913,0.010004058427016464,0.2590628358489993,16.580178823747076,2.1845329543806318,2.868274088839572,5.012034034140448,True,0.03515151515151515
7,RNG,100,119,1,21,2.38,0.6896375859826667,1,4,0.07851340358151551,0.040004728470951656,0.010004058427016464,0.2089985923594879,9.343095026200347,1.5077156397787999,2.8940420682650334,5.0157161681413704,True,0.02404040404040404
8,Gabriel,100,188,1,90,3.76,1.1586198686368194,2,7,0.10156935272078266,0.04709011258978396,0.01669496609026148,0.2521171004595607,19.09503831150714,2.207750764280163,2.9482295664224503,5.040805148687941,True,0.03797979797979798
8,RNG,100,125,1,27,2.5,0.714142842854285,1,4,0.08408212258219269,0.03802212834825235,0.01669496609026148,0.19522727915945534,10.510265322774087,1.5561363842719902,3.0267377499417827,4.935376489082031,True,0.025252525252525252
9,Gabriel,100,182,1,84,3.64,1.204325537385968,2,7,0.0989558088034087,0.04712056425759951,0.016342770887218968,0.25758240573492436,18.009957202220384,2.2059091861213784,2.8800819308758165,5.054821401704872,True,0.03676767676767677
9,RNG,100,121,1,23,2.42,0.6508456038109193,1,4,0.08043576169145404,0.037566383671132894,0.016342770887218968,0.16452162664739364,9.732727164665938,1.4222242662407119,3.195973973961208,4.987963060631742,True,0.024444444444444446
10,Gabriel,100,180,1,82,3.6,1.140175425099138,1,7,0.09896874045912903,0.05402974102687404,0.003511618541298556,0.2840819438904384,17.814373282643224,2.192593976935458,2.827848497508609,5.053267876146469,True,0.03636363636363636
10,RNG,100,118,1,20,2.36,0.7282856582413249,1,4,0.07858500858835774,0.04212466203476855,0.003511618541298556,0.20044753807622315,9.273031013426213,1.57458647677999,2.990730454353808,4.952872241777671,True,0.02383838383838384
11,Gabriel,100,172,1,74,3.44,1.142978564978364,1,7,0.09463688618902782,0.05160784829144448,0.001980497738855588,0.2410552820047245,16.277544424512786,2.2042293326790166,2.9949856485312543,5.031347373165335,True,0.03474747474747475
11,RNG,100,114,1,16,2.28,0.61773780845922,1,4,0.07453564177322171,0.0391601327747629,0.001980497738855588,0.18674537963841017,8.497063162147274,1.3474061316456498,3.0353563696178356,4.956909839600627,True,0.02303030303030303
12,Gabriel,100,183,1,85,3.66,1.041345283755585,1,6,0.09673278524199974,0.05139353997356409,0.012892613881886714,0.25252944185416404,17.702099699285952,2.094062603298659,2.96077401169045,4.995514102172218,True,0.03696969696969697
