simulation,graph_type,n_vertices,n_edges,n_components,n_faces,mean_degree,std_degree,min_degree,max_degree,mean_length,std_length,min_length,max_length,total_length,entropy_degree,entropy_length,entropy_orientation,is_connected,density
2,Gabriel,18,23,1,7,2.5555555555555554,0.8314794192830981,2,5,0.21600838811623185,0.10849803090031133,0.024410924683262898,0.41967717120764547,4.968192926673333,1.4108478748063633,3.1049015002704614,3.8820451081368623,True,0.1503267973856209
2,Unit disk,18,35,2,20,3.888888888888889,1.559518760846467,0,6,0.200546956166593,0.07538113047548212,0.024410924683262898,0.31992118073867465,7.019143465830755,2.2856946147259993,3.1113061459995186,4.093149802473812,False,0.22875816993464052
2,Gamma,18,6,12,1,0.6666666666666666,0.74535599249993,0,2,0.1268544939678699,0.06020659623402732,0.024410924683262898,0.19280608434725346,0.7611269638072194,1.4591479170272446,2.2516291673878226,2.584962500721156,False,0.0392156862745098
2,Fungal,18,53,1,37,5.888888888888889,0.9938079899999065,3,8,0.32115190860531867,0.17731404849807458,0.024410924683262898,0.730404337041473,17.02105115608189,1.6805563732659934,3.1770220486503837,4.840759133645201,True,0.3464052287581699
3,MST,18,17,1,1,1.8888888888888888,0.8089010988089465,1,3,0.16400406825147665,0.0640314844458603,0.057110262123475045,0.2752405450323172,2.788069160275103,1.5715416718219246,3.1018812234760182,3.616874605956222,True,0.1111111111111111
3,RNG,18,20,1,4,2.2222222222222223,0.7114582486036499,1,3,0.17831710001273632,0.07900872757868443,0.057110262123475045,0.3739329682491369,3.566342000254726,1.4806821149663847,3.0086949695628427,3.6464393446710153,True,0.13071895424836602
3,Gabriel,18,27,1,11,3.0,1.0,1,5,0.19645298725423288,0.07634131018018701,0.057110262123475045,0.3739329682491369,5.304230655864288,2.018310781820059,2.9645654122509733,4.106377316818026,True,0.17647058823529413
3,Unit disk,18,43,1,27,4.777777777777778,1.9309052441091963,2,8,0.21363523705991302,0.07050062400657518,0.057110262123475045,0.3088909242726427,9.18631519357626,2.5304930567574826,2.9818555370089737,4.460921149950308,True,0.28104575163398693
3,Gamma,18,5,13,1,0.5555555555555556,0.4969039949999533,0,1,0.12093042934010942,0.0476820848807052,0.057110262123475045,0.1788514384112524,0.6046521467005471,0.9910760598382222,2.3219280948873626,2.3219280948873626,False,0.032679738562091505
3,Fungal,18,50,1,34,5.555555555555555,0.8314794192830981,4,7,0.2851018196009935,0.15331110573017268,0.057110262123475045,0.7389653891325475,14.255090980049674,1.5275070675902451,2.9169989389526068,4.511272380112911,True,0.32679738562091504
